horizon,mse,rmse,mae,mape,mdape,smape,coverage
55 days,746.564301543624,27.323328888399086,22.205575422925428,0.03879528114353838,0.03216366463692212,0.03900084260971096,0.7328767123287672
56 days,723.2042038043644,26.892456262014527,21.810330282739937,0.03806183126195946,0.03216366463692212,0.038283601792928494,0.7397260273972602
57 days,686.4495298506642,26.200181866747876,21.051944494744713,0.036660108932491935,0.031461443926518375,0.03692078308605501,0.7602739726027398
58 days,715.9170935446583,26.756627095817933,21.303442164645894,0.036930040629760436,0.031461443926518375,0.037286630075771515,0.7534246575342466
59 days,742.3387198627682,27.24589363303704,21.71594424769374,0.03761067224444167,0.03187856875228394,0.03799039742050318,0.7465753424657534
60 days,710.4340621277656,26.65396897514075,21.089157855328335,0.03659909200546952,0.030446899327216878,0.03692395053795486,0.7602739726027398
61 days,705.0184162115212,26.552182889764847,21.083241615994936,0.03683621103522704,0.030446899327216878,0.03701859541253505,0.7602739726027398
62 days,698.9207188976623,26.437108746942474,21.064717008901944,0.036977973320841385,0.030446899327216878,0.0370586781082019,0.7534246575342466
63 days,695.3564771812755,26.369612761306822,20.845803086537718,0.036592422869302074,0.030446899327216878,0.03667157499710948,0.7534246575342466
64 days,690.6047450585328,26.279359677483253,20.690172547783263,0.03633723341295552,0.029033969242529094,0.03640562560422129,0.7534246575342466
65 days,679.005738077972,26.05773854496917,20.417662480244328,0.03590700803178979,0.028989014016318194,0.03595003841870175,0.7602739726027398
66 days,677.827289935229,26.035116476313853,20.458080244319365,0.03597689084418872,0.029033969242529094,0.036018412505051556,0.773972602739726
67 days,646.5473713764371,25.42729579362377,20.009942216376015,0.0352628586315901,0.028989014016318194,0.03526175645997331,0.7808219178082192
68 days,622.3188711041319,24.94631979078541,19.835278080352104,0.03503093626895077,0.029033969242529094,0.034983239351699606,0.7945205479452054
69 days,659.2262001448621,25.675400681291464,20.439384947168932,0.036244491285193,0.029033969242529094,0.0361155644000123,0.7808219178082192
70 days,663.2596382719015,25.753827643127178,20.472652631957736,0.03633888927630078,0.030446899327216878,0.03618886029671673,0.7808219178082192
71 days,669.8687533917406,25.881822837500078,20.664273280935554,0.036639416849758175,0.031461443926518375,0.03650885674095869,0.773972602739726
72 days,656.5835963601573,25.623887221890385,20.377814208062244,0.03616207334119981,0.030446899327216878,0.03601738389864208,0.7808219178082192
73 days,652.5339817843886,25.544744699925825,20.225525028980677,0.03589095393265533,0.029033969242529094,0.035745902722813874,0.7808219178082192
74 days,646.6889214293014,25.430079068483085,20.161603565721293,0.03580520396217188,0.027751287896930304,0.03564520151893073,0.7876712328767124
75 days,704.6666104195265,26.54555726330729,20.989493443323195,0.03711126053145886,0.029033969242529094,0.03702860547603791,0.7808219178082192
76 days,701.981911902107,26.494941251154096,20.94419075205073,0.03703688812000973,0.029033969242529094,0.03695024753378195,0.7808219178082192
77 days,712.1088976291713,26.685368605832885,21.10379289538115,0.03728356102586959,0.029033969242529094,0.03722044263751692,0.7671232876712328
78 days,712.2250901198713,26.68754559939657,21.09119407980785,0.037228914328660476,0.029033969242529094,0.037189798868339945,0.7671232876712328
79 days,722.6000459037771,26.881221064225805,21.157750041037634,0.037301112748347895,0.029033969242529094,0.03729563423533635,0.7534246575342466
