ds,yhat,yhat_lower,yhat_upper,y,cutoff
2021-05-04,572.467664543776,542.0120278616382,601.6244399540578,567,2021-02-28
2021-05-05,572.1736874543886,541.0112655570942,602.12566338029,595,2021-02-28
2021-05-06,571.3383609353505,542.8514554136749,600.1348611421073,585,2021-02-28
2021-05-07,577.4795317361327,548.4323939782181,606.9644297026725,604,2021-02-28
2021-05-08,572.4574673585902,541.279270994059,601.3827485756207,557,2021-02-28
2021-05-09,570.499567434143,540.6904591699642,599.0128084035703,543,2021-02-28
2021-05-10,565.1604486998641,536.1868358825903,594.754702884844,578,2021-02-28
2021-05-11,560.9936889184462,531.6963692045458,588.5387432499858,568,2021-02-28
2021-05-12,560.1378838114763,528.2305149143325,591.7476816097968,549,2021-02-28
2021-05-13,558.9416775095431,528.9222832126782,587.4625550755185,546,2021-02-28
2021-05-14,564.9268360810771,537.4478234417677,595.3871783962619,590,2021-02-28
2021-05-15,559.9529913476142,530.5178067619121,589.1277376183476,568,2021-02-28
2021-05-16,558.2424400952216,527.0328617554848,588.0069874856338,595,2021-02-28
2021-05-17,553.3404270101272,523.5637688058926,583.2960484700595,582,2021-02-28
2021-05-18,549.7871902161412,520.7778414644688,579.2987075845199,588,2021-02-28
2021-05-19,549.704414315402,519.9050077163414,578.8869717368418,624,2021-02-28
2021-05-20,549.4207398404884,521.0273056939064,578.0350426874651,615,2021-02-28
2021-05-21,556.4353849946876,528.6996839119681,587.0930091639353,602,2021-02-28
2021-05-22,552.583491505069,523.4976049192863,580.6050441157745,548,2021-02-28
2021-05-23,552.061563056868,521.0853776390202,580.9291391510126,586,2021-02-28
2021-05-24,548.3884072061468,519.7115180367215,577.040212360259,560,2021-02-28
2021-05-25,546.0778419140302,517.4514467456826,575.1372039476863,569,2021-02-28
2021-05-26,547.2257940608881,516.1687556565537,577.7921576713136,563,2021-02-28
2021-05-27,548.1364219774089,519.1965093147817,578.4665142182236,563,2021-02-28
2021-05-28,556.2863021298067,527.3275809719916,585.8006217583197,549,2021-02-28
2021-05-29,553.4902776014162,525.0584965197646,581.5862822188822,596,2021-02-28
2021-05-30,553.9273245871319,524.5573206063661,582.2243006365009,598,2021-02-28
2021-05-31,551.1018377962828,521.2830835434067,579.7883409644164,574,2021-02-28
2021-06-01,549.5165884065831,521.1261556752606,579.1405007125983,546,2021-02-28
2021-06-02,551.2599771065361,522.1495627846087,581.2177990848071,565,2021-02-28
2021-06-03,552.6322122206891,522.2731791717034,582.3256397723937,589,2021-02-28
2021-06-04,561.1094538134686,533.2475952100357,591.1046807724309,548,2021-02-28
2021-06-05,558.5095249109982,529.816204962127,586.4059997836085,574,2021-02-28
2021-06-06,559.0175521577038,530.837583310718,589.6496428840281,545,2021-02-28
2021-06-07,556.1469452951688,525.9696009490827,586.85220102513,581,2021-02-28
2021-06-08,554.4119797137523,525.501313896028,583.0479532496511,559,2021-02-28
2021-06-09,555.9146170013178,525.8088423843542,584.7289986336921,568,2021-02-28
2021-06-10,556.9702072705229,528.4153556841576,586.079510172451,569,2021-02-28
2021-06-11,565.0711289254199,536.7940774229435,594.3623326057183,592,2021-02-28
2021-06-12,562.0519823108963,532.0550380643924,593.6802131358696,568,2021-02-28
2021-06-13,562.11471494956,533.297632439237,592.7763784061398,579,2021-02-28
2021-06-14,558.7891027766017,531.1328313212058,589.0065066003824,549,2021-02-28
2021-06-15,556.6048658458666,528.305197665273,585.6334440614713,569,2021-02-28
2021-06-16,557.6780664486946,529.0322335875062,588.5288738143275,555,2021-02-28
2021-06-17,558.3364448720537,528.1294813389393,587.2261835512608,576,2021-02-28
2021-06-18,566.0827580140588,538.5418531356974,596.159903817515,598,2021-02-28
2021-06-19,562.7597447138509,530.428740689619,593.1661060341717,577,2021-02-28
2021-06-20,562.5751005800678,533.2943896311664,591.8146610562176,584,2021-02-28
2021-06-21,559.0618893551205,530.0155318234393,589.0505293554526,614,2021-02-28
2021-06-22,556.7506694187485,526.7685428466635,587.7929068859981,597,2021-02-28
2021-06-23,557.7559810363101,527.221877175625,589.5215562100859,585,2021-02-28
2021-06-24,558.4018448804243,526.8135759596413,586.7202525331281,576,2021-02-28
2021-06-25,566.1853301590943,536.6070136515086,596.5733217140429,579,2021-02-28
2021-06-26,562.9418073721082,534.0527438648325,593.2209336699595,589,2021-02-28
2021-06-27,562.8702579910575,534.9514596601122,592.6475471816198,601,2021-02-28
2021-06-28,559.4940562980514,529.7185575925229,590.2809212070624,585,2021-02-28
2021-06-29,557.3334892510044,529.8119423836868,587.3488380302954,603,2021-02-28
2021-06-30,558.4926467145993,527.6497934059496,588.7823654617735,546,2021-02-28
2021-07-01,559.2853192058218,530.236006528018,589.4927216096451,586,2021-02-28
2021-07-02,567.1989484092979,537.631397703589,595.3100070401158,552,2021-02-28
2021-07-03,564.0602331134146,532.8091461403185,595.3979567924056,606,2021-02-28
2021-07-04,564.060751576295,534.8964364977932,594.2829463261419,554,2021-02-28
2021-07-05,560.718005700286,532.2919918307834,592.2552458571021,555,2021-02-28
2021-07-06,558.5481447505301,530.7612887060475,587.4049393095019,559,2021-02-28
2021-07-07,559.6529947938649,531.3785041884793,589.1842513085704,565,2021-02-28
2021-07-08,560.346026989216,531.9222745478829,588.4959206720332,567,2021-02-28
2021-07-09,568.1163082285449,538.1375670289038,599.3170355159605,544,2021-02-28
2021-07-10,564.794037324053,534.7283861410039,595.7862690862187,539,2021-02-28
2021-07-11,564.5760305680795,535.0218494132494,594.0324884407665,547,2021-02-28
2021-07-12,560.9865670343451,531.280802323242,592.9829120633975,566,2021-02-28
2021-07-13,558.5498583522551,529.0274542645519,587.8843449267698,604,2021-02-28
2021-07-14,559.3767779032546,531.6898692250348,586.899052672019,547,2021-02-28
2021-07-15,559.7904928384128,530.0902770893367,589.0964386030998,590,2021-02-28
2021-07-16,567.2900538487479,539.2337322219145,595.1567335068851,560,2021-02-28
2021-07-17,563.7155581169673,534.1185581353476,590.364533932172,575,2021-02-28
2021-07-18,563.2732619228033,534.5204796171294,591.9365662904238,556,2021-02-28
2021-07-19,559.4960659243878,529.5349233676932,588.9630356504852,605,2021-02-28
2021-07-20,556.9156501109767,525.8052301614798,585.4296422303707,534,2021-02-28
2021-07-21,557.6489048573346,528.8464341834658,585.3570563416197,578,2021-02-28
2021-07-22,558.0233118131085,530.5112070635882,587.5964541280918,586,2021-02-28
2021-07-23,565.5403384155528,535.9101937063803,595.4923270645594,557,2021-02-28
2021-07-24,562.0404685485172,530.4749260743699,591.0353866862586,564,2021-02-28
2021-07-25,561.728250920577,532.8055277158753,593.586176160517,572,2021-02-28
2021-07-26,558.1327911223796,530.3766228386744,587.0130097045196,621,2021-02-28
2021-07-27,555.7799650302471,524.0123370782401,583.9661837663366,617,2021-02-28
2021-07-28,556.7789983582583,525.6180432379433,585.3697175392582,564,2021-02-28
2021-07-29,557.4480622024219,526.8311722869853,586.3814664575085,533,2021-02-28
2021-07-30,565.2779423217402,537.0711988873048,593.5327114532507,554,2021-02-28
2021-07-31,562.0973966556265,533.3005551631823,590.4988448390286,563,2021-02-28
2021-08-01,562.0985728835113,533.9355607235059,590.5097059552014,555,2021-02-28
2021-08-02,558.7979007683477,529.911519556554,587.5241073683791,547,2021-02-28
2021-08-03,556.7087246165398,524.3460663916935,586.5389025002748,589,2021-02-28
2021-08-04,557.9283075808078,527.9541757498527,588.124500413451,594,2021-02-28
2021-08-05,558.7638442296208,528.6663491556186,588.6512328574754,540,2021-02-28
2021-08-06,566.6965257752038,535.376416563257,594.9461889031363,513,2021-02-28
2021-08-07,563.547259585412,535.0302778476979,594.4617539692103,562,2021-02-28
2021-08-08,563.5024027889897,535.8504856733613,592.4194727620328,602,2021-02-28
2021-08-09,560.0749139736567,530.2697180081581,586.3550262655629,544,2021-02-28
2021-08-10,557.7771791607444,527.0756598583783,585.9397723925842,554,2021-02-28
2021-08-11,558.7081365224986,530.1391226478468,589.1354849764825,572,2021-02-28
2021-08-12,559.1793311332806,531.0214667771428,588.2227027286725,627,2021-02-28
2021-08-13,566.6789413180569,537.2255690261766,595.142719674218,577,2021-02-28
2021-08-14,563.0373778101714,532.5829362253514,591.9854921428288,553,2021-02-28
2021-08-15,562.4528175650076,532.7516699622952,589.4479888657828,580,2021-02-28
2021-08-16,558.4520806826608,530.5788220382376,588.3411545998937,558,2021-02-28
2021-08-17,555.5631133855404,526.9614457624774,585.1038950400089,601,2021-02-28
2021-08-18,555.901710408897,528.3759605105037,585.8164981250287,569,2021-02-28
2021-08-19,555.7971188771677,525.4479108025862,586.2808934712859,577,2021-02-28
2021-08-20,562.7555775991581,532.5642284036684,594.5702575753091,584,2021-02-28
2021-08-21,558.6254066025386,528.0924068539135,584.875810470346,579,2021-02-28
2021-08-22,557.6220232144802,527.9869321863764,586.8062014988411,538,2021-02-28
2021-08-23,553.2883080352946,524.4914362356247,583.7341365923123,544,2021-02-28
2021-08-24,550.1665986467816,523.6101674626002,579.698501303898,595,2021-02-28
2021-08-25,550.3849588756644,520.3252300636416,577.6843967264294,521,2021-02-28
2021-08-26,550.2823792874541,524.1120255379157,578.5319185428722,589,2021-02-28
2021-08-27,557.3719751830525,528.2287278628181,588.3182848454585,591,2021-02-28
2021-08-28,553.5058076239379,524.3300531884022,582.1398542473642,566,2021-02-28
2021-08-29,552.8997125409554,525.1453925827949,581.2486239432137,502,2021-02-28
2021-08-30,549.0935677924595,518.5579179393109,578.9299669873124,575,2021-02-28
2021-08-31,546.6232800977193,518.0522790307971,576.6467220702652,599,2021-02-28
2021-09-01,547.6071411770245,520.4868834224458,578.9151045795054,590,2021-02-28
2021-09-02,548.3712076465499,519.9786092629977,578.1118633148,558,2021-02-28
2021-09-03,556.4127671869367,525.9197841031164,586.6975058832144,563,2021-02-28
2021-09-04,553.5655102190195,521.9537919238012,582.5495192041116,571,2021-02-28
2021-09-05,554.0247834700021,524.6565905614901,584.4094062763661,584,2021-02-28
2021-09-06,551.3083444757026,521.6485216606202,581.1904949359832,561,2021-02-28
2021-09-07,549.9288862681227,517.8582014807783,576.920176366695,528,2021-02-28
2021-09-08,551.9809673940277,523.3955766626359,581.1200124701688,531,2021-02-28
2021-09-09,553.7669865099882,524.009329277189,582.449614787593,592,2021-02-28
2021-09-10,562.7612480784702,533.1691237313222,591.9910199060525,523,2021-02-28
2021-09-11,560.7757221605458,530.8698346288862,590.2478368438925,603,2021-02-28
2021-09-12,561.9858586616701,534.4181559492885,589.6109385560031,539,2021-02-28
2021-09-13,559.8918597133302,530.7592958853177,588.0847804850982,533,2021-02-28
2021-09-14,558.9916651741436,528.975638099909,589.204171871347,572,2021-02-28
2021-09-15,561.3682736331724,530.9010449917993,592.1542477932286,592,2021-02-28
2021-09-16,563.3160272628278,534.0052067596893,594.6207549633925,610,2021-02-28
2021-09-17,572.304898324813,543.7276150795182,603.3752610067378,593,2021-02-28
2021-09-18,570.1463740299595,539.7385816367438,598.9927866337224,572,2021-02-28
2021-09-19,571.0192964226871,540.5202090236778,599.8928345717878,552,2021-02-28
2021-09-20,568.4310600052439,537.8257925079188,595.6898156038361,595,2021-02-28
2021-09-21,566.8904238666811,536.4992830047074,596.6014147163174,532,2021-02-28
2021-09-22,568.4945651856106,538.7816743519429,598.2792707461961,596,2021-02-28
2021-09-23,569.5550095216388,540.9953300034706,601.1442876351531,565,2021-02-28
2021-09-24,577.5614851553134,549.171374871337,606.2020940234983,537,2021-02-28
2021-09-25,574.347309757395,546.142483225597,602.868694454762,587,2021-02-28
2021-09-26,574.114679442128,544.8034626887353,602.0281094765048,554,2021-02-28
2021-09-27,570.3952777330173,539.6896940990753,599.8384290851214,555,2021-02-28
