horizon,mse,rmse,mae,mape,mdape,smape,coverage
18 days,676.0504995733266,26.000971127504577,21.25510186320209,0.03814690966844106,0.033279057178439014,0.03762069246570485,0.75
19 days,719.242765980565,26.818701795213073,21.98594987742926,0.039404392320739674,0.03436302715267388,0.03888934702886619,0.7222222222222222
20 days,809.4400853418836,28.450660543155823,23.161680326636194,0.04134507030139594,0.036113506191789824,0.040875292096653235,0.6944444444444444
21 days,785.9503007682317,28.034805167295737,22.762984574317233,0.04066673026782966,0.03286857945815848,0.04018517309088919,0.7083333333333334
22 days,773.0496663302272,27.803770721436816,22.407294663417762,0.04003134482427086,0.030722847751842204,0.039546426667636775,0.7222222222222222
23 days,801.1568521387438,28.304714309435166,22.8069527011166,0.040734178365199325,0.030722847751842204,0.04023010481972775,0.7083333333333334
24 days,787.0134384944528,28.053759792485085,22.603160732413688,0.040109692184454135,0.030722847751842204,0.0397420864909141,0.7083333333333334
25 days,836.2964708545882,28.91879096460618,23.520604503905968,0.04177991899189755,0.03488238060543197,0.04138126125657485,0.6805555555555556
26 days,893.256295519848,29.887393588599323,24.225751905539077,0.04289813723472005,0.033034866331928925,0.04256510003430492,0.6527777777777778
27 days,858.8243559841618,29.305705178073463,23.62421870069936,0.04172028145881445,0.03177674164308876,0.041464660831144515,0.6666666666666666
28 days,836.285183131884,28.918595801523352,22.97976863199631,0.040553226552241556,0.030722847751842204,0.040327653714630665,0.6805555555555556
29 days,824.0765558164892,28.706733631963235,22.727773049269217,0.04007886896633374,0.03177674164308876,0.0398720425253705,0.6944444444444444
30 days,814.6228209128836,28.541598079170054,22.751661209269898,0.03994300458542315,0.03177674164308876,0.03982660382471126,0.7083333333333334
31 days,834.6591672394876,28.89046844963729,23.36272991891336,0.041032358094303806,0.0343052524725419,0.040906340376700226,0.7083333333333334
32 days,741.683207374745,27.23386141138904,22.236174950300487,0.038896291521568,0.033068576232971214,0.038880218790156365,0.7361111111111112
33 days,727.8129892890089,26.97800936483285,21.913301257338592,0.03822731884994695,0.03255386655079156,0.0382715690513494,0.7361111111111112
34 days,701.2119805327208,26.480407484265054,21.644626278777313,0.03765158932036877,0.033068576232971214,0.037757899132633214,0.75
35 days,698.5102689373687,26.429344845027252,21.512970120928465,0.03754490697293689,0.033068576232971214,0.03758651728422456,0.75
36 days,662.6765604454745,25.742504937272024,20.998579234811206,0.036682317397072624,0.03255386655079156,0.03670825630996159,0.7777777777777778
37 days,637.3735703313968,25.24625854124521,20.683412887840657,0.03606815332875276,0.03267609877787391,0.0361202003298661,0.7916666666666666
38 days,543.0615386660334,23.303680796518677,19.393782905704306,0.03392842810754623,0.03210268565232926,0.03393511833947152,0.8194444444444444
39 days,540.8516320876603,23.25621706313519,19.103536107983373,0.033450952001207575,0.03255386655079156,0.03344640239620045,0.8194444444444444
40 days,592.3726614585021,24.33870706217777,20.031584393470794,0.035141954143648596,0.03316936001078409,0.035118078559677114,0.7916666666666666
41 days,568.4278013042652,23.841723958310254,19.846861034085165,0.03484245033072303,0.03316936001078409,0.03483019088769143,0.8055555555555556
42 days,547.1857186400406,23.392001167921496,19.532729666659222,0.03438990412249125,0.03267609877787391,0.03433057580330105,0.8333333333333334
43 days,526.524799703314,22.94612820724477,19.187634598270975,0.03383140142430634,0.03255386655079156,0.0337499519624451,0.8472222222222222
44 days,456.9038090342996,21.375308396238395,18.055588666053804,0.031959197555061075,0.03210268565232926,0.03181858715792332,0.8611111111111112
45 days,462.1531663529062,21.49774793677017,18.24622471356286,0.03232980826599366,0.031171334579656707,0.03216302410613528,0.8472222222222222
46 days,507.4399455926066,22.526427714855426,19.198545095630973,0.034004271136602156,0.032124134101598735,0.03383003343431398,0.8194444444444444
47 days,542.5152521388384,23.291956812145227,19.90802898690316,0.03536051162514302,0.03331152713953061,0.03512793203466714,0.8055555555555556
48 days,527.9836949819396,22.97789579099748,19.72914020473635,0.035102167427543525,0.03368170612389614,0.03484823973664735,0.8194444444444444
49 days,604.7870536064038,24.592418620509935,20.60207656576442,0.03655097453666128,0.03368170612389614,0.036326436020723114,0.7916666666666666
50 days,610.3917686851398,24.706107922640097,20.68630425128027,0.03672550940393705,0.03391830979348889,0.036481134064210476,0.7916666666666666
51 days,620.610535458331,24.912056026316474,20.759505565223336,0.03705048140458675,0.03391830979348889,0.036693924418318834,0.8055555555555556
52 days,624.427697481839,24.988551328195058,20.878310434918564,0.03727062757966916,0.03391830979348889,0.036905024650228824,0.8055555555555556
53 days,672.2379032264871,25.927551045682797,21.617366268012532,0.038474511554239234,0.034428643161064365,0.03816343011296057,0.7916666666666666
54 days,734.5135297752472,27.101910076141262,22.343345243389923,0.03977090066455137,0.03523558943753787,0.03944045212686234,0.7638888888888888
