ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,571.9128440000001,532.4954521240533,593.3326282418955,571.9128440000001,571.9128440000001,-8.001535303042445,-8.001535303042445,-8.001535303042445,-2.1197508359893633,-2.1197508359893633,-2.1197508359893633,-5.881784467053081,-5.881784467053081,-5.881784467053081,0.0,0.0,0.0,563.9113086969576
2020-01-02,571.8957438141069,534.8014502545801,596.3221333247313,571.8957438141069,571.8957438141069,-5.556914262037804,-5.556914262037804,-5.556914262037804,0.7127744359975905,0.7127744359975905,0.7127744359975905,-6.269688698035394,-6.269688698035394,-6.269688698035394,0.0,0.0,0.0,566.3388295520691
2020-01-03,571.8786436282139,538.0338318782531,599.0410953561898,571.8786436282139,571.8786436282139,-4.646350952243635,-4.646350952243635,-4.646350952243635,1.9097870079542214,1.9097870079542214,1.9097870079542214,-6.556137960197857,-6.556137960197857,-6.556137960197857,0.0,0.0,0.0,567.2322926759703
2020-01-04,571.8615434423208,537.0706129833575,596.3375167862908,571.8615434423208,571.8615434423208,-5.924672445119924,-5.924672445119924,-5.924672445119924,0.8124879209168271,0.8124879209168271,0.8124879209168271,-6.7371603660367505,-6.7371603660367505,-6.7371603660367505,0.0,0.0,0.0,565.9368709972009
2020-01-05,571.8444432564278,533.4115915389133,594.913784381953,571.8444432564278,571.8444432564278,-6.795088681556229,-6.795088681556229,-6.795088681556229,0.016164641074568217,0.016164641074568217,0.016164641074568217,-6.811253322630797,-6.811253322630797,-6.811253322630797,0.0,0.0,0.0,565.0493545748716
2020-01-06,571.8273430705348,533.2033806033137,594.0414209020781,571.8273430705348,571.8273430705348,-7.946626634794676,-7.946626634794676,-7.946626634794676,-1.16723937412071,-1.16723937412071,-1.16723937412071,-6.779387260673965,-6.779387260673965,-6.779387260673965,0.0,0.0,0.0,563.88071643574
2020-01-07,571.8102428846416,534.5440702988219,595.4848791369028,571.8102428846416,571.8102428846416,-6.809168706491654,-6.809168706491654,-6.809168706491654,-0.1642237958273242,-0.1642237958273242,-0.1642237958273242,-6.6449449106643295,-6.6449449106643295,-6.6449449106643295,0.0,0.0,0.0,565.00107417815
2020-01-08,571.7931426987486,531.9597668133281,593.2553485852352,571.7931426987486,571.7931426987486,-8.533349180956808,-8.533349180956808,-8.533349180956808,-2.119750835991024,-2.119750835991024,-2.119750835991024,-6.413598344965784,-6.413598344965784,-6.413598344965784,0.0,0.0,0.0,563.2597935177918
2020-01-09,571.7760425128556,536.591590331739,596.503430518454,571.7760425128556,571.7760425128556,-5.380353287255668,-5.380353287255668,-5.380353287255668,0.7127744359984234,0.7127744359984234,0.7127744359984234,-6.09312772325409,-6.09312772325409,-6.09312772325409,0.0,0.0,0.0,566.3956892256
2020-01-10,571.7589423269625,538.8424676503807,597.2683632089883,571.7589423269625,571.7589423269625,-3.783400269332884,-3.783400269332884,-3.783400269332884,1.9097870079486494,1.9097870079486494,1.9097870079486494,-5.693187277281534,-5.693187277281534,-5.693187277281534,0.0,0.0,0.0,567.9755420576296
