horizon,mse,rmse,mae,mape,mdape,smape,coverage
9 days,513.356583365148,22.65737370846736,19.127417852853384,0.034332934263227914,0.03400996057368623,0.03393501011681124,0.8666666666666667
10 days,540.2893224017813,23.24412447053623,19.72463142574585,0.03531022051769393,0.035801302993107395,0.03493437693732108,0.8444444444444444
11 days,561.4654851893547,23.695262927204556,20.32799823042921,0.03644679346949776,0.035801302993107395,0.03602743198005667,0.8222222222222222
12 days,592.1828890827494,24.334808178466282,20.81421456238545,0.0375347559500553,0.03615659740879086,0.0369928716834802,0.8
13 days,549.3284040112418,23.43775595084226,19.50772896408561,0.03513278654190738,0.02948380228459095,0.0346391757680953,0.8
14 days,684.2046182390485,26.15730525568428,21.22683094105097,0.038293016964335534,0.028833430402448647,0.03768352884250346,0.7555555555555555
15 days,671.9930508446507,25.9228287585412,21.17050150564634,0.03794868474869464,0.028833430402448647,0.03744129274534979,0.7555555555555555
16 days,674.7707758458115,25.976350318045288,20.621091657796782,0.037079607006405016,0.02860963729519296,0.03650771215323465,0.7777777777777778
17 days,660.1673302675104,25.69372161185511,19.72459095389747,0.035476256043642004,0.027519929372700546,0.034914461265095585,0.7555555555555555
18 days,680.8899787932539,26.093868605349684,20.417328740665333,0.03643330023533521,0.02811583936977717,0.036014703666286056,0.7555555555555555
19 days,727.709364397398,26.976088752771368,21.151882983300357,0.03774000570090831,0.028429226076993223,0.03732401451476548,0.7333333333333333
20 days,861.5379747696473,29.35196713628658,22.908361083945106,0.0405873650518276,0.02948380228459095,0.04026966936357446,0.7111111111111111
21 days,792.2128195955236,28.146275412486172,21.67969227750797,0.03822578320264562,0.02811583936977717,0.03801383738975044,0.7555555555555555
22 days,797.2967213347303,28.236443142413144,21.91509282068631,0.038667094250243186,0.028429226076993223,0.03843247609950751,0.7555555555555555
23 days,694.7090394227776,26.357333693353308,20.45002725641494,0.03589817075337468,0.02555742702136047,0.03577433792505944,0.7777777777777778
24 days,698.7206104022977,26.43332386216871,20.40143359909888,0.03577017992052636,0.02555742702136047,0.035684568986416816,0.7555555555555555
25 days,762.5261023373475,27.613875177840352,22.18822832740942,0.038986518279320544,0.031021065184655434,0.038866698537665355,0.7333333333333333
26 days,922.4581236636755,30.37199571420481,25.00063559804327,0.04360142841558356,0.03771523024510992,0.043648415920229,0.6888888888888889
27 days,852.6183838021718,29.199629857280243,23.64341024692147,0.04130048278996598,0.03504866747920242,0.041317774301629126,0.7111111111111111
28 days,772.382415805423,27.791768849884726,21.981049803791297,0.03831339548345741,0.03253241810152208,0.03837192275845674,0.7555555555555555
29 days,613.514577200174,24.769226415053296,19.49906157282695,0.03412116829518142,0.030290880515264906,0.03412041664578655,0.8
30 days,664.4822408721486,25.77755304275696,20.68225316692854,0.03616196129361016,0.03253241810152208,0.036174491545877485,0.7777777777777778
31 days,708.4588624352525,26.6168905478317,21.908657035319,0.03836211947431002,0.03526813393748076,0.03835100269910976,0.7777777777777778
32 days,656.2595612696371,25.617563531093996,21.22393471210618,0.03711483013339923,0.03356183746588139,0.03715970542739788,0.8
33 days,630.1264349800296,25.102319314757143,20.759439830086208,0.03617384848239997,0.032575315000061035,0.03627704297782628,0.8444444444444444
34 days,523.777162912778,22.886178425258727,18.54512053409282,0.03203631752596699,0.03150333455045738,0.032274003393008815,0.8888888888888888
35 days,395.05732541405416,19.87604903933511,16.390270951534614,0.028669052810831288,0.028862806162555855,0.028685672238713912,0.9111111111111111
36 days,404.56995614013545,20.11392443408634,16.75480887911355,0.02927800265287904,0.028862806162555855,0.029305736399797673,0.9111111111111111
37 days,453.49291487859495,21.295373086156413,18.116429288991327,0.031709994365626576,0.031672953203136435,0.031700613431599176,0.8888888888888888
38 days,480.2857238425822,21.91542205485859,18.85744886269038,0.03291194407428229,0.031672953203136435,0.03294779924674733,0.8666666666666667
39 days,427.28375464789224,20.67084310442833,17.34451398837484,0.030335764813065113,0.03066971595617698,0.030342570164308594,0.8888888888888888
40 days,471.5472230628823,21.715138108307816,17.856212968193017,0.03126693789704767,0.02918798751500723,0.03127495141203495,0.8444444444444444
41 days,484.717316850369,22.016296619785287,18.19060689141947,0.031939767180809084,0.029793818016986703,0.03190928003883763,0.8444444444444444
42 days,459.2180303318933,21.429373073701743,17.870148699857687,0.03152486778484854,0.029793818016986703,0.03143396828349096,0.8666666666666667
43 days,535.9308982044514,23.15018138599461,19.606389929648593,0.03491578861914319,0.03277688255568679,0.03464900288528284,0.8222222222222222
44 days,492.92542072523946,22.2019238068515,18.82238356247497,0.03348237708430532,0.03277688255568679,0.03326089463379013,0.8666666666666667
45 days,488.23247284295485,22.095983183442073,18.633309794145802,0.033228642859248356,0.029793818016986703,0.03295996579840096,0.8666666666666667
46 days,509.2138798101585,22.56576787548251,18.696418057111615,0.03329362549313099,0.02846196139275727,0.03305428416701421,0.8444444444444444
47 days,552.5715407346062,23.506840296701004,19.621048649368106,0.03524334305412696,0.029793818016986703,0.03484196322148726,0.8444444444444444
