horizon,mse,rmse,mae,mape,mdape,smape,coverage
26 days,628.2927271004062,25.065768033323977,20.162426030769957,0.0351821490034107,0.033547051320459056,0.035298358248326826,0.7777777777777778
27 days,639.925961816457,25.296757930937652,20.610469360727215,0.03600273728755603,0.033547051320459056,0.036100094790173884,0.7777777777777778
28 days,617.068618638809,24.84086589953758,19.918242257668012,0.03495696503772238,0.027073032935067572,0.03495875802779496,0.7777777777777778
29 days,572.5160465819199,23.927307549783364,18.006725310233694,0.03141815925734015,0.024135101071956218,0.03149686702149463,0.7777777777777778
30 days,597.8275993510583,24.450513273775222,19.278271865812524,0.03374142536197969,0.027073032935067572,0.033773036706651355,0.7777777777777778
31 days,670.7079942218145,25.89803070161541,21.411787275054014,0.03772572404417573,0.02834542010310122,0.037618379674772745,0.7777777777777778
32 days,660.8319552932682,25.706651965848607,20.46241546349932,0.03607464263277625,0.02834542010310122,0.035952237709437534,0.7777777777777778
33 days,533.6273035046767,23.100374531697028,17.80358519622861,0.030886463913359554,0.027073032935067572,0.031030406728327724,0.8888888888888888
34 days,494.0501502459035,22.227238925379453,16.241689504960846,0.028009631118424725,0.024135101071956218,0.02822843399994483,0.8888888888888888
35 days,366.1249244010329,19.134391142679007,14.904388200505032,0.026009536337937282,0.024135101071956218,0.02606393833348161,0.8888888888888888
36 days,346.34212855254026,18.610269437935074,13.998891369378194,0.02431802840433806,0.020508459593474356,0.024420452990497086,0.8888888888888888
37 days,397.40877723520697,19.935114176628307,15.319332454594978,0.026809043542421654,0.020508459593474356,0.026825777093591435,0.8888888888888888
38 days,559.4287335499411,23.6522458457953,19.236664103217056,0.033196033848050616,0.02834542010310122,0.03343739631603075,0.7777777777777778
39 days,544.3513839596686,23.331339094866987,18.660391760295752,0.03204550713004322,0.020508459593474356,0.03234902721923107,0.7777777777777778
40 days,505.5777696760629,22.485056586009804,17.812521002978745,0.030215726579428344,0.020508459593474356,0.03070801373073455,0.7777777777777778
41 days,511.26971885966276,22.61127415383005,18.511212397518435,0.03143084204819302,0.020508459593474356,0.03193179222525368,0.7777777777777778
42 days,575.2290515600616,23.98393319620578,20.16122372478795,0.034174896263949234,0.032397733568296755,0.034768390260743486,0.7777777777777778
43 days,629.5253990432388,25.09034473743314,22.06935286416338,0.037737946394120064,0.04186095549763599,0.03823072933955929,0.7777777777777778
44 days,436.4981155834284,20.892537317985777,17.791747325383135,0.030782569421080024,0.032397733568296755,0.0310078703971276,0.8888888888888888
45 days,440.16442967787526,20.980096035954535,18.023969260527224,0.031242743777155874,0.032397733568296755,0.03144610412483981,0.8888888888888888
46 days,377.5672794433406,19.431090536646177,16.181614564142453,0.027795796495050127,0.017990679641034686,0.028103524678618222,0.8888888888888888
47 days,274.2108827667798,16.55931407899433,14.500675975405999,0.02556987179755523,0.017990679641034686,0.025551914063913876,1.0
48 days,290.99982619955006,17.058717015049815,15.130714653608543,0.026847248498945972,0.029487069953551322,0.026763543171522287,1.0
49 days,251.04538651423707,15.844411838696855,13.21613496803703,0.02360770039757944,0.015991030737357248,0.02346414018652814,1.0
50 days,255.89643919461872,15.996763397469461,13.501447085036704,0.024172034570353954,0.017631014555551806,0.024002547457992556,1.0
51 days,240.54951069238606,15.50965862591392,13.19993237498679,0.024125078709963867,0.017631014555551806,0.023730464901120005,1.0
52 days,210.66574353351461,14.514328904000854,12.427224240385247,0.022677871035438193,0.017631014555551806,0.022333074606320467,1.0
53 days,280.00852261730347,16.733455190644385,14.85912907498088,0.027195872121089287,0.02883608642690495,0.02673180761372243,1.0
54 days,308.40922644084736,17.5615838249529,15.901128545960242,0.02914660037473192,0.029487069953551322,0.02863513646391108,1.0
55 days,316.087558872371,17.778851449752626,16.271539659570596,0.02974173784272596,0.029487069953551322,0.029268067620631846,1.0
56 days,345.506411430152,18.587802759609648,16.842779271750715,0.030871648928242727,0.029487069953551322,0.030345798173072282,1.0
57 days,344.8743312880877,18.57079242488289,16.823113319071,0.030823978682985247,0.029058037746233986,0.03029949330838322,1.0
58 days,522.5626703994066,22.859629708274074,21.068959915196828,0.0378278826448919,0.03354758502014096,0.03755637942549894,0.8888888888888888
59 days,563.8540716376434,23.745611629049343,22.3838041726042,0.039940220273370616,0.0366420532118603,0.03976181894207932,0.8888888888888888
60 days,509.77686395157514,22.57823872563082,20.782775976493504,0.03681950911508507,0.03354758502014096,0.03676569880983256,0.8888888888888888
61 days,626.147182636872,25.02293313416459,23.02499360759618,0.040245338771610316,0.0366420532118603,0.04044094647498044,0.7777777777777778
62 days,558.4261659260472,23.6310424214855,20.786838932395412,0.03607723267936015,0.03354758502014096,0.03638575019055708,0.7777777777777778
63 days,534.0101947607989,23.108660600753105,19.94712511328065,0.03449605418200239,0.029058037746233986,0.03484553268614174,0.7777777777777778
64 days,529.7922358172643,23.01721607443577,19.758533706521145,0.03415148305831258,0.029058037746233986,0.03449420034853081,0.7777777777777778
65 days,490.6874488071448,22.15146606451015,18.969119283736088,0.03226519449927051,0.029058037746233986,0.03283272628004009,0.7777777777777778
66 days,483.4387086818228,21.98723967854589,18.72564919678109,0.0316469135643461,0.023493509331914346,0.03229171106694581,0.7777777777777778
67 days,316.5744351481395,17.792538749378615,15.392856874384986,0.026256484776666304,0.01931697854392118,0.026631508071077403,0.8888888888888888
68 days,276.780849509229,16.63673193596714,14.15202792915338,0.024251446615900712,0.01859670976496997,0.024531450509867533,0.8888888888888888
69 days,277.0259788662519,16.64409741819159,14.16461121961139,0.024266692458853687,0.01859670976496997,0.024546955192477463,0.8888888888888888
70 days,189.20378352428764,13.755136623250518,12.665658554037577,0.021854816578418226,0.01859670976496997,0.022012809753519106,1.0
71 days,204.57282203552515,14.302895582207302,13.526224425111398,0.023392360160978946,0.01931697854392118,0.023526210738239656,1.0
72 days,196.08847542721594,14.003159480175034,13.028235274188408,0.02248057290696552,0.01859670976496997,0.02262813494010533,1.0
73 days,191.30996565971745,13.831484579021785,12.767411847323096,0.022069364692671015,0.01859670976496997,0.02218824698444054,1.0
74 days,169.59754953966663,13.02296239492638,12.18335557023464,0.021069284988971076,0.01859670976496997,0.02115594247550475,1.0
75 days,169.15105546824844,13.00580852804809,12.16708090029153,0.021170924073011146,0.01859670976496997,0.021193854575652385,1.0
76 days,209.01155571641144,14.457231952085829,13.433645300888278,0.02321359101007272,0.02282024658539888,0.023327822087314872,1.0
77 days,197.3110848178427,14.046746413950908,12.492555104763937,0.021534914949096803,0.02282024658539888,0.021667507259948014,1.0
78 days,297.05269445286683,17.23521669294781,14.906485713932701,0.026150628544688876,0.024408261088275002,0.026083403408811004,1.0
79 days,246.359510079337,15.695843719894034,13.20401304954934,0.023364033405876495,0.02282024658539888,0.02320603812361849,1.0
